data_rate_Sa,f_avg,delta1,log10_nmse
1000,0.0000,3.6667,0.000316
1000,0.0000,4.3333,0.065695
1000,5.2083,1.3333,-1.745870
1000,2.0833,1.3333,-1.850726
1000,1.0417,0.3333,-2.399859
1000,4.1667,-1.3333,-2.329276
1000,1.0417,-0.3333,-2.003626
1000,4.1667,1.6667,-1.741817
1000,0.0000,-6.0000,0.003782
1000,3.1250,1.6667,-1.675581
1000,6.2500,2.3333,-1.747275
1000,1.0417,2.6667,-1.747298
1000,11.4583,-3.3333,-1.747340
1000,6.2500,3.0000,-1.747237
1000,8.3333,-2.6667,-1.796803
1000,9.3750,-3.6667,-1.747228
1000,4.1667,0.0000,-2.128857
1000,3.1250,3.6667,-1.747226
1000,8.3333,-3.3333,-1.741461
1000,10.4167,-3.6667,-1.747228
1000,13.5417,-3.3333,-1.747118
1000,8.3333,-4.3333,-1.747277
1000,7.2917,4.3333,-1.747318
1000,12.5000,4.6667,-1.747262
1000,8.3333,2.3333,-0.505807
1000,9.3750,-5.0000,-1.747223
1000,1.0417,5.0000,-1.747282
1000,3.1250,5.3333,-1.747291
1000,10.4167,5.3333,-1.747409
1000,21.8750,-5.3333,-1.747528
1000,2.0833,1.0000,-2.096393
1000,13.5417,-5.6667,-1.747406
1000,5.2083,-5.6667,-1.747478
1000,10.4167,-0.3333,-3.332768
1000,9.3750,-6.0000,-1.747274
1000,1.0417,-6.3333,-1.747353
1000,4.1667,-6.0000,-1.747144
1000,27.0833,-6.3333,-1.747320
1000,7.2917,6.3333,-1.747360
1000,8.3333,6.3333,-1.747550
1000,22.9167,-6.3333,-1.747359
1000,10.4167,-6.3333,-1.747641
1000,11.4583,-2.3333,-0.889781
1000,15.6250,-0.3333,-3.352752
1000,16.6667,-4.3333,-1.747275
1000,13.5417,-0.6667,-3.366914
1000,23.9583,-6.6667,-1.747285
1000,29.1667,-6.6667,-1.747231
1000,14.5833,-1.3333,-3.346571
1000,13.5417,7.0000,-1.747182
1000,15.6250,-0.6667,-3.348697
1000,11.4583,7.0000,-1.747292
1000,9.3750,-7.0000,-1.747455
1000,18.7500,-7.3333,-1.747243
1000,10.4167,3.0000,-1.225638
1000,16.6667,-0.6667,-3.359042
1000,6.2500,7.3333,-1.747099
1000,15.6250,-7.0000,-1.747418
1000,3.1250,7.3333,-1.747453
1000,5.2083,7.3333,-1.747354
1000,5.2083,-7.3333,-1.747354
1000,10.4167,7.0000,-1.747527
1000,14.5833,-1.6667,-3.354583
1000,3.1250,-7.6667,-1.747714
1000,18.7500,-1.3333,-3.357879
1000,14.5833,-3.0000,-3.365256
1000,6.2500,7.6667,-1.747181
1000,15.6250,-2.0000,-3.354284
1000,14.5833,7.6667,-1.747327
1000,21.8750,-7.6667,-1.747393
1000,25.0000,-7.6667,-1.747419
1000,25.0000,-8.0000,-1.747534
1000,19.7917,-1.3333,-3.347931
1000,17.7083,-8.0000,-1.747487
1000,17.7083,7.6667,-1.608892
1000,17.7083,-2.0000,-3.353294
1000,10.4167,-5.3333,-1.747409
1000,21.8750,-1.3333,-3.354190
1000,8.3333,7.0000,-1.747395
1000,12.5000,5.6667,-1.747443
1000,6.2500,3.6667,-1.747231
1000,27.0833,-0.6667,-3.357000
1000,5.2083,2.0000,-1.747307
1000,26.0417,-1.3333,-3.357015
1000,18.7500,-3.0000,-3.360732
1000,31.2500,-0.3333,-3.356211
1000,19.7917,8.0000,-1.863576
1000,17.7083,-6.3333,-1.747416
1000,19.7917,-3.6667,-3.342832
1000,6.2500,5.3333,-1.747550
1000,20.8333,7.3333,-1.388608
1000,18.7500,0.0000,-3.322356
1000,25.0000,-4.0000,-3.347898
1000,9.3750,-8.0000,-1.747351
1000,25.0000,-3.6667,-3.362039
1000,32.2917,-1.3333,-3.363797
1000,17.7083,-5.0000,-1.747224
1000,36.4583,-0.6667,-3.364458
1000,2.0833,4.6667,-1.747419
1000,41.6667,-0.3333,-3.353131
1000,8.3333,-3.0000,-1.820962
1000,33.3333,-2.3333,-3.343914
1000,31.2500,-2.6667,-3.363950
1000,26.0417,-5.6667,-3.356828
1000,14.5833,-7.0000,-1.747186
1000,36.4583,-1.6667,-3.355691
